,german_cities
1548,Rudolstadt (Thuringia)
1549,Ruhla (Thuringia)
1550,Ruhland (Brandenburg)
1551,Runkel (Hesse)
1552,Rüsselsheim (Hesse)
1553,Rutesheim (Baden-Württemberg)
1554,Rüthen (North Rhine-Westphalia)
1555,Saalburg-Ebersdorf (Thuringia)
1556,Saalfeld (Thuringia)
1557,Saarbrücken (Saarland)
1558,Saarburg (Rhineland-Palatinate)
1559,Saarlouis (Saarland)
1560,Sachsenhagen (Lower Saxony)
1561,Sachsenheim (Baden-Württemberg)
1562,Salzgitter (Lower Saxony)
1563,Salzkotten (North Rhine-Westphalia)
1564,Salzwedel (Saxony-Anhalt)
1565,Sandau (Elbe) (Saxony-Anhalt)
1566,Sandersdorf-Brehna (Saxony-Anhalt)
1567,Sangerhausen (Saxony-Anhalt)
1568,Sankt Augustin (North Rhine-Westphalia)
1569,Sankt Goar (Rhineland-Palatinate)
1570,Sankt Goarshausen (Rhineland-Palatinate)
1571,Sarstedt (Lower Saxony)
1572,Sassenberg (North Rhine-Westphalia)
1573,Sassnitz (Mecklenburg-Western Pomerania)
1574,Sayda (Saxony)
1575,Schalkau (Thuringia)
1576,Schauenstein (Bavaria)
1577,Scheer (Baden-Württemberg)
1578,Scheibenberg (Saxony)
1579,Scheinfeld (Bavaria)
1580,Schelklingen (Baden-Württemberg)
1581,Schenefeld (Schleswig-Holstein)
1582,Scheßlitz (Bavaria)
1583,Schieder-Schwalenberg (North Rhine-Westphalia)
1584,Schifferstadt (Rhineland-Palatinate)
1585,Schillingsfürst (Bavaria)
1586,Schiltach (Baden-Württemberg)
1587,Schirgiswalde-Kirschau (Saxony)
1588,Schkeuditz (Saxony)
1589,Schkölen (Thuringia)
1590,Schleiden (North Rhine-Westphalia)
1591,Schleiz (Thuringia)
1592,Schleswig (Schleswig-Holstein)
1593,Schlettau (Saxony)
1594,Schleusingen (Thuringia)
1595,Schlieben (Brandenburg)
1596,Schlitz (Hesse)
1597,Schloß Holte-Stukenbrock (North Rhine-Westphalia)
1598,Schlüchtern (Hesse)
1599,Schlüsselfeld (Bavaria)
1600,Schmalkalden (Thuringia)
1601,Schmallenberg (North Rhine-Westphalia)
1602,Schmölln (Thuringia)
1603,Schnackenburg (Lower Saxony)
1604,Schnaittenbach (Bavaria)
1605,Schneeberg (Saxony)
1606,Schneverdingen (Lower Saxony)
1607,Schömberg (Baden-Württemberg)
1608,Schönau (Baden-Württemberg)
1609,Schönau im Schwarzwald (Baden-Württemberg)
1610,Schönberg (Mecklenburg-Western Pomerania)
1611,Schönebeck (Saxony-Anhalt)
1612,Schöneck/Vogtl. (Saxony)
1613,Schönewalde (Brandenburg)
1614,Schongau (Bavaria)
1615,Schöningen (Lower Saxony)
1616,Schönsee (Bavaria)
1617,Schönwald (Bavaria)
1618,Schopfheim (Baden-Württemberg)
1619,Schöppenstedt (Lower Saxony)
1620,Schorndorf (Baden-Württemberg)
1621,Schortens (Lower Saxony)
1622,Schotten (Hesse)
1623,Schramberg (Baden-Württemberg)
1624,Schraplau (Saxony-Anhalt)
1625,Schriesheim (Baden-Württemberg)
1626,Schrobenhausen (Bavaria)
1627,Schrozberg (Baden-Württemberg)
1628,Schüttorf (Lower Saxony)
1629,Schwaan (Mecklenburg-Western Pomerania)
1630,Schwabach (Bavaria)
1631,Schwäbisch Gmünd (Baden-Württemberg)
1632,Schwäbisch Hall (Baden-Württemberg)
1633,Schwabmünchen (Bavaria)
1634,Schwaigern (Baden-Württemberg)
1635,Schwalbach am Taunus (Hesse)
1636,Schwalmstadt (Hesse)
1637,Schwandorf (Bavaria)
1638,Schwanebeck (Saxony-Anhalt)
1639,Schwarzatal (Thuringia)
1640,Schwarzenbach am Wald (Bavaria)
1641,Schwarzenbach an der Saale (Bavaria)
1642,Schwarzenbek (Schleswig-Holstein)
1643,Schwarzenberg/Erzgeb. (Saxony)
1644,Schwarzenborn (Hesse)
1645,Schwarzheide (Brandenburg)
1646,Schwedt (Brandenburg)
1647,Schweich (Rhineland-Palatinate)
1648,Schweinfurt (Bavaria)
1649,Schwelm (North Rhine-Westphalia)
1650,Schwentinental (Schleswig-Holstein)
1651,Schwerin (Mecklenburg-Western Pomerania)
1652,Schwerte (North Rhine-Westphalia)
1653,Schwetzingen (Baden-Württemberg)
1654,Sebnitz (Saxony)
1655,Seehausen (Altmark) (Saxony-Anhalt)
1656,Seeland (Saxony-Anhalt)
1657,Seelow (Brandenburg)
1658,Seelze (Lower Saxony)
1659,Seesen (Lower Saxony)
1660,Sehnde (Lower Saxony)
1661,Seifhennersdorf (Saxony)
1662,Selb (Bavaria)
1663,Selbitz (Bavaria)
1664,Seligenstadt (Hesse)
1665,Selm (North Rhine-Westphalia)
1666,Selters (Westerwald) (Rhineland-Palatinate)
1667,Senden (Bavaria)
1668,Sendenhorst (North Rhine-Westphalia)
1669,Senftenberg (Brandenburg)
1670,Seßlach (Bavaria)
1671,Siegburg (North Rhine-Westphalia)
1672,Siegen (North Rhine-Westphalia)
1673,Sigmaringen (Baden-Württemberg)
1674,Simbach am Inn (Bavaria)
1675,Simmern (Rhineland-Palatinate)
1676,Sindelfingen (Baden-Württemberg)
1677,Singen (Baden-Württemberg)
1678,Sinsheim (Baden-Württemberg)
1679,Sinzig (Rhineland-Palatinate)
1680,Soest (North Rhine-Westphalia)
1681,Solingen (North Rhine-Westphalia)
1682,Solms (Hesse)
1683,Soltau (Lower Saxony)
1684,Sömmerda (Thuringia)
1685,Sondershausen (Thuringia)
1686,Sonneberg (Thuringia)
1687,Sonnewalde (Brandenburg)
1688,Sonthofen (Bavaria)
1689,Sontra (Hesse)
1690,Spaichingen (Baden-Württemberg)
1691,Spalt (Bavaria)
1692,Spangenberg (Hesse)
1693,Speicher (Rhineland-Palatinate)
1694,Spenge (North Rhine-Westphalia)
1695,Speyer (Rhineland-Palatinate)
1696,Spremberg (Brandenburg)
1697,Springe (Lower Saxony)
1698,Sprockhövel (North Rhine-Westphalia)
1699,Stade (Lower Saxony)
1700,Stadtallendorf (Hesse)
1701,Stadtbergen (Bavaria)
1702,Stadthagen (Lower Saxony)
1703,Stadtilm (Thuringia)
1704,Stadtlohn (North Rhine-Westphalia)
1705,Stadtoldendorf (Lower Saxony)
1706,Stadtprozelten (Bavaria)
1707,Stadtroda (Thuringia)
1708,Stadtsteinach (Bavaria)
1709,Stadt Wehlen (Saxony)
1710,Starnberg (Bavaria)
1711,Staßfurt (Saxony-Anhalt)
1712,Staufen im Breisgau (Baden-Württemberg)
1713,Staufenberg (Hesse)
1714,"Stavenhagen, Reuterstadt (Mecklenburg-Western Pomerania)"
1715,St. Blasien (Baden-Württemberg)
1716,Stein (Bavaria)
1717,Steinach (Thuringia)
1718,Steinau an der Straße (Hesse)
1719,Steinbach-Hallenberg (Thuringia)
1720,Steinbach (Taunus) (Hesse)
1721,Steinfurt (North Rhine-Westphalia)
1722,Steinheim an der Murr (Baden-Württemberg)
1723,Steinheim (North Rhine-Westphalia)
1724,Stendal (Saxony-Anhalt)
1725,Sternberg (Mecklenburg-Western Pomerania)
1726,St. Ingbert (Saarland)
1727,St. Georgen im Schwarzwald (Baden-Württemberg)
1728,Stockach (Baden-Württemberg)
1729,Stolberg (Rhld.) (North Rhine-Westphalia)
1730,Stollberg (Saxony)
1731,Stolpen (Saxony)
1732,Storkow (Mark) (Brandenburg)
1733,Stößen (Saxony-Anhalt)
1734,Straelen (North Rhine-Westphalia)
1735,Stralsund (Mecklenburg-Western Pomerania)
1736,Strasburg (Uckermark) (Mecklenburg-Western Pomerania)
1737,Straubing (Bavaria)
1738,Strausberg (Brandenburg)
1739,Strehla (Saxony)
1740,Stromberg (Rhineland-Palatinate)
1741,Stühlingen (Baden-Württemberg)
1742,Stutensee (Baden-Württemberg)
1743,Stuttgart (Baden-Württemberg)
1744,St. Wendel (Saarland)
1745,Südliches Anhalt (Saxony-Anhalt)
1746,Suhl (Thuringia)
1747,Sulingen (Lower Saxony)
1748,Sulz am Neckar (Baden-Württemberg)
1749,Sulzbach/ Saar (Saarland)
1750,Sulzbach-Rosenberg (Bavaria)
1751,Sulzburg (Baden-Württemberg)
1752,Sundern (North Rhine-Westphalia)
1753,Süßen (Baden-Württemberg)
1754,Syke (Lower Saxony)
1755,Tambach-Dietharz (Thuringia)
1756,Tangerhütte (Saxony-Anhalt)
1757,Tangermünde (Saxony-Anhalt)
1758,Tann (Rhön) (Hesse)
1759,Tanna (Thuringia)
1760,Tauberbischofsheim (Baden-Württemberg)
1761,Taucha (Saxony)
1762,Taunusstein (Hesse)
1763,Tecklenburg (North Rhine-Westphalia)
1764,Tegernsee (Bavaria)
1765,Telgte (North Rhine-Westphalia)
1766,Teltow (Brandenburg)
1767,Templin (Brandenburg)
1768,Tengen (Baden-Württemberg)
1769,Tessin (Mecklenburg-Western Pomerania)
1770,Teterow (Mecklenburg-Western Pomerania)
1771,Tettnang (Baden-Württemberg)
1772,Teublitz (Bavaria)
1773,Teuchern (Saxony-Anhalt)
1774,Teupitz (Brandenburg)
1775,Teuschnitz (Bavaria)
1776,Thale (Saxony-Anhalt)
1777,Thalheim/Erzgeb. (Saxony)
1778,Thannhausen (Bavaria)
1779,Tharandt (Saxony)
1780,Themar (Thuringia)
1781,Thum (Saxony)
1782,Tirschenreuth (Bavaria)
1783,Titisee-Neustadt (Baden-Württemberg)
1784,Tittmoning (Bavaria)
1785,Todtnau (Baden-Württemberg)
1786,Töging am Inn (Bavaria)
1787,Tönisvorst (North Rhine-Westphalia)
1788,Tönning (Schleswig-Holstein)
1789,Torgau (Saxony)
1790,Torgelow (Mecklenburg-Western Pomerania)
1791,Tornesch (Schleswig-Holstein)
1792,Traben-Trarbach (Rhineland-Palatinate)
1793,Traunreut (Bavaria)
1794,Traunstein (Bavaria)
1795,Trebbin (Brandenburg)
1796,Trebsen/Mulde (Saxony)
1797,Treffurt (Thuringia)
1798,Trendelburg (Hesse)
1799,Treuchtlingen (Bavaria)
1800,Treuen (Saxony)
1801,Treuenbrietzen (Brandenburg)
1802,Triberg im Schwarzwald (Baden-Württemberg)
1803,Tribsees (Mecklenburg-Western Pomerania)
1804,Trier (Rhineland-Palatinate)
1805,Triptis (Thuringia)
1806,Trochtelfingen (Baden-Württemberg)
1807,Troisdorf (North Rhine-Westphalia)
1808,Trossingen (Baden-Württemberg)
1809,Trostberg (Bavaria)
1810,Tübingen (Baden-Württemberg)
1811,Tuttlingen (Baden-Württemberg)
1812,Twistringen (Lower Saxony)
1813,Übach-Palenberg (North Rhine-Westphalia)
1814,Überlingen (Baden-Württemberg)
1815,Uebigau-Wahrenbrück (Brandenburg)
1816,Ueckermünde (Mecklenburg-Western Pomerania)
1817,Uelzen (Lower Saxony)
1818,Uetersen (Schleswig-Holstein)
1819,Uffenheim (Bavaria)
1820,Uhingen (Baden-Württemberg)
1821,Ulm (Baden-Württemberg)
1822,Ulmen (Rhineland-Palatinate)
1823,Ulrichstein (Hesse)
1824,Ummerstadt (Thuringia)
1825,Unkel (Rhineland-Palatinate)
1826,Unna (North Rhine-Westphalia)
1827,Unterschleißheim (Bavaria)
1828,Usedom (Mecklenburg-Western Pomerania)
1829,Usingen (Hesse)
1830,Uslar (Lower Saxony)
1831,Vacha (Thuringia)
1832,Vaihingen an der Enz (Baden-Württemberg)
1833,Vallendar (Rhineland-Palatinate)
1834,Varel (Lower Saxony)
1835,Vechta (Lower Saxony)
1836,Velbert (North Rhine-Westphalia)
1837,Velburg (Bavaria)
1838,Velden (Bavaria)
1839,Velen (North Rhine-Westphalia)
1840,Vellberg (Baden-Württemberg)
1841,Vellmar (Hesse)
1842,Velten (Brandenburg)
1843,Verden (Lower Saxony)
1844,Veringenstadt (Baden-Württemberg)
1845,Verl (North Rhine-Westphalia)
1846,Versmold (North Rhine-Westphalia)
1847,Vetschau/Spreewald (Brandenburg)
1848,Viechtach (Bavaria)
1849,Viernheim (Hesse)
1850,Viersen (North Rhine-Westphalia)
1851,Villingen-Schwenningen (Baden-Württemberg)
1852,Vilsbiburg (Bavaria)
1853,Vilseck (Bavaria)
1854,Vilshofen (Bavaria)
1855,Visselhövede (Lower Saxony)
1856,Vlotho (North Rhine-Westphalia)
1857,Voerde (Niederrhein) (North Rhine-Westphalia)
1858,Vogtsburg im Kaiserstuhl (Baden-Württemberg)
1859,Vohburg an der Donau (Bavaria)
1860,Vohenstrauß (Bavaria)
1861,Vöhrenbach (Baden-Württemberg)
1862,Vöhringen (Bavaria)
1863,Volkach (Bavaria)
1864,Völklingen (Saarland)
1865,Volkmarsen (Hesse)
1866,Vreden (North Rhine-Westphalia)
1867,Wachenheim an der Weinstraße (Rhineland-Palatinate)
1868,Wächtersbach (Hesse)
1869,Wadern (Saarland)
1870,Waghäusel (Baden-Württemberg)
1871,Wahlstedt (Schleswig-Holstein)
1872,Waiblingen (Baden-Württemberg)
1873,Waibstadt (Baden-Württemberg)
1874,Waischenfeld (Bavaria)
1875,Waldbröl (North Rhine-Westphalia)
1876,Waldeck (Hesse)
1877,Waldenbuch (Baden-Württemberg)
1878,Waldenburg (Saxony)
1879,Waldenburg (Baden-Württemberg)
1880,Waldershof (Bavaria)
1881,Waldheim (Saxony)
1882,Waldkappel (Hesse)
1883,Waldkirch (Baden-Württemberg)
1884,Waldkirchen (Bavaria)
1885,Waldkraiburg (Bavaria)
1886,Waldmünchen (Bavaria)
1887,Waldsassen (Bavaria)
1888,Waldshut-Tiengen (Baden-Württemberg)
1889,Walldorf (Baden-Württemberg)
1890,Walldürn (Baden-Württemberg)
1891,Wallenfels (Bavaria)
1892,Walsrode (Lower Saxony)
1893,Waltershausen (Thuringia)
1894,Waltrop (North Rhine-Westphalia)
1895,Wanfried (Hesse)
1896,Wangen im Allgäu (Baden-Württemberg)
1897,Wanzleben-Börde (Saxony-Anhalt)
1898,Warburg (North Rhine-Westphalia)
1899,Waren (Müritz) (Mecklenburg-Western Pomerania)
1900,Warendorf (North Rhine-Westphalia)
1901,Warin (Mecklenburg-Western Pomerania)
1902,Warstein (North Rhine-Westphalia)
1903,Wassenberg (North Rhine-Westphalia)
1904,Wasserburg am Inn (Bavaria)
1905,Wassertrüdingen (Bavaria)
1906,Wasungen (Thuringia)
1907,Wedel (Schleswig-Holstein)
1908,Weener (Lower Saxony)
1909,Wegberg (North Rhine-Westphalia)
1910,Wegeleben (Saxony-Anhalt)
1911,Wehr (Baden-Württemberg)
1912,Weida (Thuringia)
1913,Weiden in der Oberpfalz (Bavaria)
1914,Weikersheim (Baden-Württemberg)
1915,Weil am Rhein (Baden-Württemberg)
1916,Weilburg (Hesse)
1917,Weil der Stadt (Baden-Württemberg)
1918,Weilheim an der Teck (Baden-Württemberg)
1919,Weilheim in Oberbayern (Bavaria)
1920,Weimar (Thuringia)
1921,Weingarten (Baden-Württemberg)
1922,Weinheim (Baden-Württemberg)
1923,Weinsberg (Baden-Württemberg)
1924,Weinstadt (Baden-Württemberg)
1925,Weismain (Bavaria)
1926,Weißenberg (Saxony)
1927,Weißenburg in Bayern (Bavaria)
1928,Weißenfels (Saxony-Anhalt)
1929,Weißenhorn (Bavaria)
1930,Weißensee (Thuringia)
1931,Weißenstadt (Bavaria)
1932,Weißenthurm (Rhineland-Palatinate)
1933,Weißwasser (Saxony)
1934,Weiterstadt (Hesse)
1935,Welzheim (Baden-Württemberg)
1936,Welzow (Brandenburg)
1937,Wemding (Bavaria)
1938,Wendlingen am Neckar (Baden-Württemberg)
1939,Werben (Elbe) (Saxony-Anhalt)
1940,Werdau (Saxony)
1941,Werder (Havel) (Brandenburg)
1942,Werdohl (North Rhine-Westphalia)
1943,Werl (North Rhine-Westphalia)
1944,Werlte (Lower Saxony)
1945,Wermelskirchen (North Rhine-Westphalia)
1946,Wernau (Neckar) (Baden-Württemberg)
1947,Werne (North Rhine-Westphalia)
1948,Werneuchen (Brandenburg)
1949,Wernigerode (Saxony-Anhalt)
1950,Werra-Suhl-Tal (Thuringia)
1951,Wertheim (Baden-Württemberg)
1952,Werther (Westf.) (North Rhine-Westphalia)
1953,Wertingen (Bavaria)
1954,Wesel (North Rhine-Westphalia)
1955,Wesenberg (Mecklenburg-Western Pomerania)
1956,Wesselburen (Schleswig-Holstein)
1957,Wesseling (North Rhine-Westphalia)
1958,Westerburg (Rhineland-Palatinate)
1959,Westerstede (Lower Saxony)
1960,Wetter (Ruhr) (North Rhine-Westphalia)
1961,Wetter (Hesse) (Hesse)
1962,Wettin-Löbejün (Saxony-Anhalt)
1963,Wetzlar (Hesse)
1964,Widdern (Baden-Württemberg)
1965,Wiehl (North Rhine-Westphalia)
1966,Wiesbaden (Hesse)
1967,Wiesensteig (Baden-Württemberg)
1968,Wiesloch (Baden-Württemberg)
1969,Wiesmoor (Lower Saxony)
1970,Wildau (Brandenburg)
1971,Wildberg (Baden-Württemberg)
1972,Wildenfels (Saxony)
1973,Wildeshausen (Lower Saxony)
1974,Wilhelmshaven (Lower Saxony)
1975,Wilkau-Haßlau (Saxony)
1976,Willebadessen (North Rhine-Westphalia)
1977,Willich (North Rhine-Westphalia)
1978,Wilsdruff (Saxony)
1979,Wilster (Schleswig-Holstein)
1980,Wilthen (Saxony)
1981,Windischeschenbach (Bavaria)
1982,Windsbach (Bavaria)
1983,Winnenden (Baden-Württemberg)
1984,Winsen (Luhe) (Lower Saxony)
1985,Winterberg (North Rhine-Westphalia)
1986,Wipperfürth (North Rhine-Westphalia)
1987,Wirges (Rhineland-Palatinate)
1988,Wismar (Mecklenburg-Western Pomerania)
1989,Wissen (Rhineland-Palatinate)
1990,Witten (North Rhine-Westphalia)
1991,Wittenberg (Saxony-Anhalt)
1992,Wittenberge (Brandenburg)
1993,Wittenburg (Mecklenburg-Western Pomerania)
1994,Wittichenau (Saxony)
1995,Wittlich (Rhineland-Palatinate)
1996,Wittingen (Lower Saxony)
1997,Wittmund (Lower Saxony)
1998,Wittstock/Dosse (Brandenburg)
1999,Witzenhausen (Hesse)
2000,Woldegk (Mecklenburg-Western Pomerania)
2001,Wolfach (Baden-Württemberg)
2002,Wolfenbüttel (Lower Saxony)
2003,Wolfhagen (Hesse)
2004,Wolframs-Eschenbach (Bavaria)
2005,Wolfratshausen (Bavaria)
2006,Wolfsburg (Lower Saxony)
2007,Wolfstein (Rhineland-Palatinate)
2008,Wolgast (Mecklenburg-Western Pomerania)
2009,Wolkenstein (Saxony)
2010,Wolmirstedt (Saxony-Anhalt)
2011,Worms (Rhineland-Palatinate)
2012,Wörrstadt (Rhineland-Palatinate)
2013,Wörth am Rhein (Rhineland-Palatinate)
2014,Wörth an der Donau (Bavaria)
2015,Wörth am Main (Bavaria)
2016,Wriezen (Brandenburg)
2017,Wülfrath (North Rhine-Westphalia)
2018,Wunsiedel (Bavaria)
2019,Wunstorf (Lower Saxony)
2020,Wuppertal (North Rhine-Westphalia)
2021,Würselen (North Rhine-Westphalia)
2022,Wurzbach (Thuringia)
2023,Würzburg (Bavaria)
2024,Wurzen (Saxony)
2025,Wustrow (Wendland) (Lower Saxony)
2026,Wyk auf Föhr (Schleswig-Holstein)
2027,Xanten (North Rhine-Westphalia)
2028,Zahna-Elster (Saxony-Anhalt)
2029,Zarrentin am Schaalsee (Mecklenburg-Western Pomerania)
2030,Zehdenick (Brandenburg)
2031,Zeil am Main (Bavaria)
2032,Zeitz (Saxony-Anhalt)
2033,Zell am Harmersbach (Baden-Württemberg)
2034,Zell im Wiesental (Baden-Württemberg)
2035,Zell (Mosel) (Rhineland-Palatinate)
2036,Zella-Mehlis (Thuringia)
2037,Zerbst (Saxony-Anhalt)
2038,Zeulenroda-Triebes (Thuringia)
2039,Zeven (Lower Saxony)
2040,Ziegenrück (Thuringia)
2041,Zierenberg (Hesse)
2042,Ziesar (Brandenburg)
2043,Zirndorf (Bavaria)
2044,Zittau (Saxony)
2045,Zörbig (Saxony-Anhalt)
2046,Zossen (Brandenburg)
2047,Zschopau (Saxony)
2048,Zülpich (North Rhine-Westphalia)
2049,Zweibrücken (Rhineland-Palatinate)
2050,Zwenkau (Saxony)
2051,Zwickau (Saxony)
2052,Zwiesel (Bavaria)
2053,Zwingenberg (Hesse)
2054,Zwönitz (Saxony)
