,Unnamed: 0,course_type,course_name,course_link,uni_name,german_cities_x,semester_beginning,online_course_elemen,german_cities_dup,german_cities_y,german_states
0,1,Preparatory course,:prime – Foundation Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6297/,University of Bremen ,Bremen,"September, 2021 - July, 2022",,Bremen,Bremen,Bremen
1,2,Preparatory course,ACCESS2 Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6214/,Heilbronn University of Applied Sciences ,Heilbronn,"September, 2021 - September, 2022",,Heilbronn,Heilbronn,Baden-Württemberg
2,3,Preparatory course,DHBW Bridge-Year,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5161/,Baden-Wuerttemberg Cooperative State University Heidenheim ,Heidenheim an der Brenz,"September 01, 2021 - August 31, 2022 (Registration Deadline March 31, 2021)",,Heidenheim an der Brenz,Heidenheim an der Brenz,Baden-Württemberg
3,4,Preparatory course,FOKuS – Studienstart Deutsch | Vorbereitungssemester für internationale Studieninteressierte,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5168/,Ulm University ,Ulm,"November, 2020 - March, 2021, April - July, 2021 (Registration Deadline January 15, 2021), October, 2021 - February, 2022 (Registration Deadline July 15, 2021)",,Ulm,Ulm,Baden-Württemberg
4,5,Preparatory course,Foundation Year,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5155/,Jacobs University Bremen ,Bremen,"September, 2020 - June, 2021 (Registration Deadline August 15, 2020)",,Bremen,Bremen,Bremen
5,6,Preparatory course,"Foundation Year / Studienkolleg T, W, M Courses",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5166/,Otto von Guericke University Magdeburg ,Magdeburg,"September, 2020 - June, 2021 (Registration Deadline August 15, 2020), January - September, 2021 (Registration Deadline December 15, 2020), March - December, 2021 (Registration Deadline February 15, 2021)",,Magdeburg,Magdeburg,Saxony-Anhalt
6,7,Preparatory course,Freshman Programme of the FH Aachen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5158/,FH Aachen University of Applied Sciences ,Jülich,"October 04, 2021 - August 31, 2022",,Jülich,Jülich,North Rhine-Westphalia
7,8,Preparatory course,Freshman Programme of the FH Aachen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6525/,FH Aachen University of Applied Sciences ,Geilenkirchen,"October 04, 2021 - August 31, 2022",,Geilenkirchen,Geilenkirchen,North Rhine-Westphalia
8,9,Preparatory course,Freshman Programme of the FH Aachen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6909/,FH Aachen University of Applied Sciences ,Geilenkirchen,"October 04, 2021 - August 31, 2022",,Geilenkirchen,Geilenkirchen,North Rhine-Westphalia
9,10,Preparatory course,German Education Gate,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6992/,Hochschule Fresenius - University of Applied Sciences ,Köln,"October 01, 2020 - July 31, 2021, April 01, 2021 - January 31, 2022",,Cologne,Cologne,North Rhine-Westphalia
10,11,Preparatory course,INGprep Preparatory Study Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6559/,htw saar - University of Applied Sciences ,Saarbrücken,"March, 2021 - September, 2022 (Registration Deadline January 15, 2021), September, 2021 - March, 2023 (Registration Deadline July 15, 2021)",,Saarbrücken,Saarbrücken,Saarland
11,12,Preparatory course,International Foundation Programme STEM for International Students,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5297/,Saarland University ,Saarbrücken,"September 16, 2020 - February 12, 2021, March 01 - July 13, 2021 (Registration Deadline January 15, 2021)",,Saarbrücken,Saarbrücken,Saarland
12,13,Preparatory course,Online Preparation B1-C1,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6906/,Internationale Hochschule SDI München/International University SDI München ,München,Virtual classroom,Online,Munich,Munich,Bavaria
13,14,Preparatory course,Pre-College Fulda,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6546/,Fulda University of Applied Sciences ,Fulda,"October, 2021 - September, 2022",,Fulda,Fulda,Hesse
14,15,Preparatory course,Pre-Study Fulda,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5154/,Fulda University of Applied Sciences ,Fulda,"April 12 - July 30, 2021 (Registration Deadline January 15, 2021), June 28 - September 17, 2021 (Registration Deadline March 15, 2021), October 18, 2021 - February 18, 2022 (Registration Deadline July 15, 2021)",,Fulda,Fulda,Hesse
15,16,Preparatory course,Preparation Courses T & W | Foundation Year,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6313/,Paderborn University ,Paderborn,"November, 2020 - July, 2021 (Registration Deadline September 30, 2020), April, 2021 - January, 2022 (Registration Deadline February 28, 2021)",,Paderborn,Paderborn,North Rhine-Westphalia
16,17,Preparatory course,Preparation Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5387/,Kühne Logistics University ,Hamburg,"October 01, 2020 - June 30, 2021",,Hamburg,Hamburg,Hamburg
17,18,Preparatory course,Preparatory Course: Intensive German for Technical Programmes / Vorbereitungskurs: Deutsch-Intensiv für technische Studiengänge,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6494/,Stralsund University of Applied Sciences ,Stralsund,"September, 2020 - January, 2021 (Registration Deadline August 03, 2020), March - July, 2021 (Registration Deadline January 31, 2021)",,Stralsund,Stralsund,Mecklenburg-Western Pomerania
18,19,Preparatory course,PrepTec,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6965/,Furtwangen University ,Villingen-Schwenningen,"October, 2020 - February, 2021 (Registration Deadline August 31, 2020), March - July, 2021 (Registration Deadline January 31, 2021)",,Villingen-Schwenningen,Villingen-Schwenningen,Baden-Württemberg
19,20,Preparatory course,speakING,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6134/,University of Bremen ,Bremen,"November 02, 2020 - March 31, 2021 (Registration Deadline July 15, 2020), April 01 - September 30, 2021 (Registration Deadline January 15, 2021)",,Bremen,Bremen,Bremen
20,21,Preparatory course,Study Preparation Brandenburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5248/,University of Potsdam ,Potsdam,"October 04, 2021 - May 27, 2022 (Registration Deadline August 15, 2021)",,Potsdam,Potsdam,Brandenburg
21,22,Preparatory course,University Preparatory German Courses,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6132/,Universität Regensburg ,Regensburg,"April 14 - July 16, 2021 (Registration Deadline January 15, 2021), October 20, 2021 - February 02, 2022 (Registration Deadline July 15, 2021)",,Regensburg,Regensburg,Bavaria
22,23,Preparatory course,Viadrina Fast Track,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6991/,European University Viadrina ,Frankfurt (Oder),"July 01 - September 30, 2021 (Registration Deadline January 04, 2021)",,Frankfurt (Oder),Frankfurt (Oder),Brandenburg
23,24,Preparatory course,Viadrina Intensive Track,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6987/,European University Viadrina ,Frankfurt (Oder),"October 01, 2020 - September 30, 2021, October 01, 2021 - September 30, 2022",,Frankfurt (Oder),Frankfurt (Oder),Brandenburg
24,25,Preparatory course,Wildau Foundation Year - Wildau for You,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6133/,Technical University of Applied Sciences Wildau ,Wildau,"September, 2020 - August, 2021, March, 2021 - August, 2022",,Wildau,Wildau,Brandenburg
