,course_type,course_name,course_link,uni_name,uni_city,finan_support,lang_of_instr,dura_of_study,semester_beginning,superv_type
159,PhD / Doctorate,"International Max Planck Research School on Neuroscience of Communication: Function, Structure, and Plasticity (IMPRS NeuroCom)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4639/,Max Planck Institute for Human Cognitive and Brain Sciences ,Leipzig,inquire,English,6 semesters,Any time,Structured research and supervision
160,PhD / Doctorate,International Max Planck Research School on Reactive Structure Analysis for Chemical Reactions (IMPRS-RECHARGE PhD Programme),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6989/,Max Planck Institute for Chemical Energy Conversion ,Mülheim an der Ruhr,inquire,English,6 semesters,Any time,Structured research and supervision
161,PhD / Doctorate,International Max Planck Research School on the Social and Political Constitution of the Economy (IMPRS-SPCE),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5214/,Max Planck Institute for the Study of Societies ,Köln,inquire,English,7 semesters,Winter semester,Structured research and supervision
162,PhD / Doctorate,International Max Planck Research School on Trustworthy Computing,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3889/,Max Planck Institute for Informatics ,Saarbrücken,inquire,English,8 semesters,Any time,Structured research and supervision
163,PhD / Doctorate,International Max Planck Research School on Trustworthy Computing,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7046/,Max Planck Institute for Software Systems ,Kaiserslautern,inquire,English,8 semesters,Any time,Structured research and supervision
164,PhD / Doctorate,International Max Planck Research School Physics of Light (IMPRS-PL),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3908/,Max Planck Institute for the Science of Light ,Erlangen,inquire,English,6 semesters,Any time,Structured research and supervision
165,PhD / Doctorate,International Max Planck Research School Primary Metabolism and Plant Growth (IMPRS-PMPG),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4117/,Max Planck Institute of Molecular Plant Physiology ,Potsdam,inquire,English,6 semesters,Any time,Structured research and supervision
166,PhD / Doctorate,International PhD Programme (IPP) Literary and Cultural Studies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3695/,Justus Liebig University Giessen ,Gießen,inquire,"German, English",6 semesters,Winter semester,Structured research and supervision
167,PhD / Doctorate,"International PhD Programme for Agricultural Economics, Bioeconomy and Rural Development (IPPAE)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3740/,Justus Liebig University Giessen ,Gießen,inquire,English,6 semesters,Winter semester,Structured research and supervision
168,PhD / Doctorate,"International PhD Programme for Agricultural Economics, Bioeconomy and Rural Development (IPPAE)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7032/,University of Hohenheim ,Stuttgart,inquire,English,6 semesters,Winter semester,Structured research and supervision
169,PhD / Doctorate,"International PhD Programme on Gene Regulation, Epigenetics and Genome Stability",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4374/,Institute of Molecular Biology (IMB) ,Mainz,inquire,English,6 semesters,Any time,Structured research and supervision
170,PhD / Doctorate,International PhD Programme: Science and Health in Football,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4720/,Saarland University ,Saarbrücken,inquire,English,6 semesters,Any time,Structured research and supervision
171,PhD / Doctorate,International Research Training Group 1902 - Intra- and Interorgan Communication of the Cardiovascular System,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4572/,Heinrich Heine University Düsseldorf ,Düsseldorf,inquire,English,6 semesters,Any time,Structured research and supervision
172,PhD / Doctorate,International Research Training Group on Chemical Biology of Epigenetic Modifications,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6145/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Any time,Structured research and supervision
173,PhD / Doctorate,International School of Applied Mathematics (ISAM),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4310/,Technische Universität München ,Garching b. München,inquire,English,6 semesters,Any time,Structured research and supervision
174,PhD / Doctorate,International ZIBI Graduate School for Infectious Diseases and Immunology Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6117/,Freie Universität Berlin ,Berlin,inquire,English,8 semesters,Any time,Structured research and supervision
175,PhD / Doctorate,IPAG - International PhD Programme in Agricultural Science,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3668/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision
176,PhD / Doctorate,Jena School for Microbial Communication (JSMC),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4005/,Friedrich Schiller University Jena ,Jena,inquire,English,7 semesters,Any time,Structured research and supervision
177,PhD / Doctorate,"Joint Doctor of Philosophy (PhD) in Integrated Management of Water, Soil and Waste",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4534/,Technische Universität Dresden ,Dresden,inquire,English,7 semesters,"Winter semester, Summer semester",Structured research and supervision
178,PhD / Doctorate,Joint Research Academy in Biomedical Engineering and Science of Hearing and Sensory Systems,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4457/,University of Oldenburg ,Oldenburg,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision
179,Graduate school,Karlsruhe School of Elementary Particle and Astroparticle Physics (KSETA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6180/,Karlsruhe Institute of Technology ,Karlsruhe,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision
180,PhD / Doctorate,Konstanz Research School Chemical Biology (KoRS-CB),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4039/,University of Konstanz ,Konstanz,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision
181,PhD / Doctorate,Leibniz Graduate School on Aging and Age-Related Diseases (LGSA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4426/,Leibniz Institute on Aging - Fritz Lipmann Institute e.V. (FLI) ,Jena,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision
182,PhD / Doctorate,"Mainz Research School of Translational Biomedicine (TransMed), International PhD Programme in Life Sciences",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4647/,Johannes Gutenberg University Mainz ,Mainz,inquire,English,6 semesters,Any time,Structured research and supervision
183,Graduate school,MArburg University Research Academy (MARA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5258/,Philipps-Universität Marburg ,Marburg,inquire,English,6 semesters,Any time,Structured research and supervision
184,PhD / Doctorate,Max Planck Graduate Center for Quantum Materials,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6167/,Max Planck Institute for Solid State Research ,Stuttgart,inquire,English,8 semesters,Any time,Structured research and supervision
185,PhD / Doctorate,Max Planck School Matter to Life – Combined Master's & PhD Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7037/,Universität Heidelberg ,Heidelberg,inquire,English,More than 9 semesters,Winter semester,Structured research and supervision
186,PhD / Doctorate,Max Planck School of Photonics – PhD Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5586/,Friedrich Schiller University Jena ,Jena,inquire,English,6 semesters,Any time,Structured research and supervision
187,PhD / Doctorate,MD/PhD Programme: Molecular Medicine,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3966/,Hannover Medical School ,Hannover,inquire,English,6 semesters,Winter semester,Structured research and supervision
188,PhD / Doctorate,MDC International PhD Programme in Biomedical Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4118/,Max Delbrück Center for Molecular Medicine (MDC) Berlin ,Berlin,inquire,English,More than 9 semesters,Any time,Structured research and supervision
189,PhD / Doctorate,Munich Graduate School of Economics (MGSE),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3767/,Ludwig-Maximilians-Universität München ,München,inquire,English,More than 9 semesters,Winter semester,Structured research and supervision
190,PhD / Doctorate,Münster Graduate School of Evolution (MGSE),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4586/,University of Münster ,Münster,inquire,English,More than 9 semesters,Winter semester,Structured research and supervision
191,PhD / Doctorate,Nanoagents for Spatiotemporal Control of Molecular and Cellular Reactions (DFG-SFB 1032 Integriertes GRK),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4449/,Ludwig-Maximilians-Universität München ,München,inquire,English,More than 9 semesters,Winter semester,Structured research and supervision
192,PhD / Doctorate,PEI - PhD Programme for Environmental Informatics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4075/,University of Göttingen ,Göttingen,inquire,"German, English",6 semesters,Any time,Structured research and supervision
193,PhD / Doctorate,PhD Genomic and Molecular Medicine - Personalised Approaches to Childhood Health,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6398/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Winter semester,Structured research and supervision
194,PhD / Doctorate,PhD in Computer Science,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3819/,Technische Universität Kaiserslautern ,Kaiserslautern,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision
195,PhD / Doctorate,PhD in International Development Studies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4006/,Ruhr-Universität Bochum ,Bochum,inquire,English,6 semesters,Winter semester,Structured research and supervision
196,PhD / Doctorate,PhD in Mathematics (Mathematics as a Key Technology),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3755/,Technische Universität Kaiserslautern ,Kaiserslautern,inquire,English,6 semesters,Any time,Structured research and supervision
197,PhD / Doctorate,PhD in Medical Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4839/,Heinrich Heine University Düsseldorf ,Düsseldorf,inquire,"German, English",6 semesters,Any time,Structured research and supervision
198,PhD / Doctorate,PhD in Neuroscience – International Max Planck Research School (IMPRS) for Brain and Behaviour,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5335/,Research Center caesar ,Bonn,inquire,English,6 semesters,Any time,Structured research and supervision
199,PhD / Doctorate,PhD Medical Research - Epidemiology & Public Health,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5296/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Winter semester,Structured research and supervision
200,PhD / Doctorate,PhD Oral Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7045/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Winter semester,Structured research and supervision
201,PhD / Doctorate,PhD Programme Auditory Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6382/,Hannover Medical School ,Hannover,inquire,English,6 semesters,Winter semester,Structured research and supervision
202,PhD / Doctorate,PhD Programme Environmental and Resource Management (ERM),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3984/,Brandenburg University of Technology Cottbus-Senftenberg ,Cottbus,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision
203,PhD / Doctorate,PhD Programme Heritage Studies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4183/,Brandenburg University of Technology Cottbus-Senftenberg ,Cottbus,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision
204,PhD / Doctorate,PhD Programme in Accounting,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7041/,Goethe University Frankfurt ,Frankfurt am Main,inquire,English,8 semesters,Winter semester,Structured research and supervision
205,PhD / Doctorate,PhD Programme in Computer Science (PCS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4073/,University of Göttingen ,Göttingen,inquire,"German, English",6 semesters,Any time,Structured research and supervision
206,PhD / Doctorate,PhD Programme in Economics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4543/,Goethe University Frankfurt ,Frankfurt am Main,inquire,English,8 semesters,Winter semester,Structured research and supervision
207,PhD / Doctorate,PhD Programme in Epidemiology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4786/,Hannover Medical School ,Braunschweig,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision
208,PhD / Doctorate,PhD Programme in Finance,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5389/,Goethe University Frankfurt ,Frankfurt am Main,inquire,English,8 semesters,Winter semester,Structured research and supervision
209,PhD / Doctorate,PhD Programme in Marketing,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5390/,Goethe University Frankfurt ,Frankfurt am Main,inquire,English,8 semesters,Winter semester,Structured research and supervision
210,PhD / Doctorate,PhD Programme in Mathematical Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3941/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision
211,PhD / Doctorate,PhD Programme in Medical Life Science and Technology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4095/,Technische Universität München ,München,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision
212,PhD / Doctorate,PhD Programme in Optics & Photonics at the Karlsruhe School of Optics & Photonics (KSOP),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3952/,Karlsruhe Institute of Technology ,Karlsruhe,inquire,English,6 semesters,Any time,Structured research and supervision
213,PhD / Doctorate,PhD Programme Medical Research - International Health,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4133/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Winter semester,Structured research and supervision
214,PhD / Doctorate,PhD Programme of the Faculties of Veterinary Medicine and Medicine,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6878/,Justus Liebig University Giessen ,Gießen,inquire,English,6 semesters,Winter semester,Structured research and supervision
215,PhD / Doctorate,PhD Programme of the International Max Planck Research School for Condensed Matter Science,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3875/,Max Planck Institute for Solid State Research ,Stuttgart,inquire,English,8 semesters,Any time,Structured research and supervision
216,PhD / Doctorate,PhD Programme: Infection Biology (ZIB),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3967/,Hannover Medical School ,Hannover,inquire,English,6 semesters,Winter semester,Structured research and supervision
217,PhD / Doctorate,PhD Programme: Regenerative Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3968/,Hannover Medical School ,Hannover,inquire,English,6 semesters,Winter semester,Structured research and supervision
218,PhD / Doctorate,PhD/MD-PhD Programme - Experimental Medicine,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6346/,University of Tübingen ,Tübingen,inquire,English,6 semesters,Any time,Structured research and supervision
219,PhD / Doctorate,Physics (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4810/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision
220,PhD / Doctorate,Postgraduate International Programme in Physics and Electrical Engineering PIP,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4191/,University of Bremen ,Bremen,inquire,"German, English",8 semesters,Any time,Structured research and supervision
221,PhD / Doctorate,Privacy and Digitalisation (DFG Research Training Group 1681/2),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4336/,University of Passau ,Passau,inquire,German,6 semesters,Any time,Structured research and supervision
222,PhD / Doctorate,Public International Law: Human Rights – International Economic and Environmental Law – International Criminal Law,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5375/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Winter semester,Structured research and supervision
223,PhD / Doctorate,Research Training Group 2088 — Discovering Structure in Complex Data: Statistics Meets Optimisation and Inverse Problems,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6897/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision
224,PhD / Doctorate,Research Training Group 2433: Differential Equation- and Data-Driven Models in Life Sciences and Fluid Dynamics (DAEDALUS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7038/,Technische Universität Berlin ,Berlin,inquire,English,6 semesters,Other,Structured research and supervision
225,PhD / Doctorate,Research Training Group Molecular Basis of Sensory Biology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5396/,University of Oldenburg ,Oldenburg,inquire,English,6 semesters,Any time,Structured research and supervision
226,PhD / Doctorate,Research Training Group of the Collaborative Research Centre 1369: Cultures of Vigilance,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7042/,Ludwig-Maximilians-Universität München ,München,inquire,"German, English",8 semesters,Other,Structured research and supervision
227,PhD / Doctorate,RTG GRK2338 Targets in Toxicology - Deciphering Therapeutic Targets in Lung Toxicology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5456/,Ludwig-Maximilians-Universität München ,München,inquire,"German, English",8 semesters,Other,Structured research and supervision
228,Graduate school,RUB Research School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7119/,Ruhr-Universität Bochum ,Bochum,inquire,"German, English",8 semesters,Other,Structured research and supervision
229,PhD / Doctorate,Science of Intelligence (SCIoI),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7082/,Technische Universität Berlin ,Berlin,inquire,English,6 semesters,Winter semester,Structured research and supervision
230,PhD / Doctorate,Solar System School — International Max Planck Research School for Solar System Science (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4074/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision
231,PhD / Doctorate,Spemann Graduate School of Biology and Medicine (SGBM),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6883/,University of Freiburg ,Freiburg im Breisgau,inquire,English,6 semesters,Any time,Structured research and supervision
232,PhD / Doctorate,Structured PhD Programme in Integrated Climate System Sciences (ICSS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4116/,Universität Hamburg ,Hamburg,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision
233,Graduate school,The Graduate School of Life Sciences (GSLS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5418/,Julius-Maximilians-Universität Würzburg ,Würzburg,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision
234,PhD / Doctorate,"Trafficking of Immune Cells in Inflammation, Development and Disease (DFG-SFB 914 Integriertes GRK)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4367/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision
235,PhD / Doctorate,"Trinational Doctoral Programme in Europe's Founding Myths in Literature, Art and Music",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6881/,University of Bonn ,Bonn,inquire,"German, French, Italian",6 semesters,Any time,Structured research and supervision
236,PhD / Doctorate,Trinational Doctoral Programme in Italian Studies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3857/,University of Bonn ,Bonn,inquire,"German, Italian",6 semesters,Any time,Structured research and supervision
237,PhD / Doctorate,Tübingen International PhD Programme: Biological Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4130/,Max Planck Institute for Developmental Biology ,Tübingen,inquire,English,8 semesters,Any time,Structured research and supervision
238,PhD / Doctorate,Understanding Written Artefacts Doctoral Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6935/,Universität Hamburg ,Hamburg,inquire,English,6 semesters,Any time,Structured research and supervision
239,PhD / Doctorate,Wood Biology and Wood Technology (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3694/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision
